place,address,latitude,longitude,country_geocoded,country_added,country
swiss federal institute of aquatic science and technology,"Überland Str. 133, 8600 Dübendorf, Switzerland",47.4038135,8.6097632,Switzerland,,Switzerland
centro agronomico tropical de investigacion y ensenanza,"Cartago Province, Turrialba, Costa Rica",9.8903139,-83.6557187,Costa Rica,,Costa Rica
university of tirana,"Tirana, Albania",41.317775,19.8223261,Albania,,Albania
national autonomous university of mexico,"University City, Coyoacán, 04510 Mexico City, CDMX, Mexico",19.3228313,-99.1865774,Mexico,,Mexico
universidad tecnologica de bolivar,"Turbaco, Bolivar, Colombia",10.370264,-75.4654302,Colombia,,Colombia
university of new south wales,"Sydney NSW 2052, Australia",-33.917347,151.2312675,Australia,,Australia
university of canterbury,"20 Kirkwood Avenue, Upper Riccarton, Christchurch 8041, New Zealand",-43.5224836,172.5794354,New Zealand,,New Zealand
university of nigeria nsukka,"Nsukka - Onitsha Rd, Nsukka, Nigeria",6.8644553,7.4082883,Nigeria,,Nigeria
wildlife conservation society,"Wildlife Conservation Society, 718 SW Alder St # 210, Portland, OR 97205, USA",45.5200284,-122.6797755,United States,,United States
university of almeria,"Carretera Sacramento, de, Calle San Urbano, s/n, 04120 La Cañada, Almería, Spain",36.8290435,-2.4063528,Spain,,Spain
university of brasilia,"Brasilia, Federal District, 70910-900, Brazil",-15.7631573,-47.8706311,Brazil,,Brazil
royal holloway university of london,"Egham Hill, Egham TW20 0EX, UK",51.425673,-0.5630625,United Kingdom,,United Kingdom
romanian academy,"66-10 80th St, Middle Village, NY 11379, USA",40.7157357,-73.8724764,United States,,United States
wroclaw university of technology,"wybrzeże Stanisława Wyspiańskiego 27, 50-370 Wrocław, Poland",51.1073415,17.0617961,Poland,,Poland
national defence college india,"6, Tees January Marg, Janpath Road Area, Motilal Nehru Marg Area, New Delhi, Delhi 110011, India",28.602412,77.2151044,India,,India
chinese academy of sciences,"52 Sanlihe Rd, Xicheng Qu, Beijing Shi, China",39.9106327,116.3356321,China,,China
michigan state university,"Michigan, USA",42.701848,-84.4821719,United States,,United States
university of ilorin,"No C2, Studiopedia, Off Ministry of Health, Fate Tanke Rd, behind Lgea Primary School, Ilorin, Nigeria",8.4928414,4.5962225,Nigeria,,Nigeria
mekelle university,"Mek'ele, Ethiopia",13.4799262,39.4849384,Ethiopia,,Ethiopia
hamburg university of applied sciences,"Berliner Tor 5, 20099 Hamburg, Germany",53.5566419,10.0220777,Germany,,Germany
