commonwealth scientific and industrial research organisation	national oceanic and atmospheric administration	2	Unknown
commonwealth scientific and industrial research organisation	conservation international	2	trans-continental
commonwealth scientific and industrial research organisation	yale university	2	trans-continental
commonwealth scientific and industrial research organisation	nagoya university	3	trans-continental
commonwealth scientific and industrial research organisation	woodrow wilson international center for scholars	2	trans-continental
commonwealth scientific and industrial research organisation	martin luther university of halle wittenberg	3	Unknown
commonwealth scientific and industrial research organisation	university of amsterdam	2	trans-continental
commonwealth scientific and industrial research organisation	university of alcala	2	trans-continental
commonwealth scientific and industrial research organisation	global biodiversity information facility	2	trans-continental
commonwealth scientific and industrial research organisation	florida museum of natural history	2	trans-continental
commonwealth scientific and industrial research organisation	beijing normal university	2	trans-continental
commonwealth scientific and industrial research organisation	university of warwick	2	trans-continental
oak ridge national laboratory	idaho national laboratory	3	domestic
oak ridge national laboratory	pacific northwest national laboratory	2	Unknown
oak ridge national laboratory	university of tennessee	5	domestic
oak ridge national laboratory	university of sao paulo	2	trans-continental
oak ridge national laboratory	michigan technological university	2	domestic
oak ridge national laboratory	conservation international	2	trans-continental
oak ridge national laboratory	university of florida	2	domestic
university of the witwatersrand	johns hopkins university	5	trans-continental
university of the witwatersrand	council of scientific and industrial research	2	Unknown
university of the witwatersrand	university college london	6	trans-continental
university of the witwatersrand	bill melinda gates foundation	2	trans-continental
university of the witwatersrand	aga khan university	4	international
university of the witwatersrand	university of cape town	15	domestic
university of the witwatersrand	save the children	4	trans-continental
university of the witwatersrand	columbia university	4	trans-continental
university of the witwatersrand	centre for the aids programme of research in south africa	2	Unknown
university of the witwatersrand	medical research council	3	international
university of the witwatersrand	university of south africa	2	domestic
university of the witwatersrand	university of kwazulu natal	12	domestic
university of the witwatersrand	university of ghana	3	international
university of the witwatersrand	umea university	2	trans-continental
university of the witwatersrand	university of melbourne	2	trans-continental
university of the witwatersrand	royal children s hospital	2	trans-continental
university of the witwatersrand	university of california san francisco	2	trans-continental
university of the witwatersrand	world health organization	6	trans-continental
university of the witwatersrand	university of the western cape	4	domestic
