institution,betweenness,closeness,degree,eigenvector
national technical university of athens,0.0020992472573642005,0.2259392477427945,0.006045949214026602,0.002101006680396496
united nations,0.021641461589519816,0.3367727631131119,0.03143893591293833,0.09074989563126927
aarhus university,0.0022078555127064336,0.24678004137861048,0.007255139056831922,0.004350130054885717
university of technology sydney,4.551543706750395e-06,0.2337331775486952,0.0024183796856106408,0.003105352220659101
university of alabama at birmingham,3.3329687404287096e-05,0.23408426005346228,0.003627569528415961,0.006169376706421854
addis ababa university,0.002801071479055286,0.26447449491827324,0.008464328899637243,0.009781059250607621
technische universitat munchen,0.0,0.20160620456739006,0.0012091898428053204,0.0003491097919482658
university of manchester,0.005646125333284213,0.3052724703831391,0.018137847642079805,0.05326252740579817
university of potsdam,0.0,0.2206606670875646,0.0024183796856106408,0.0014956707863690848
university of tubingen,0.0,0.1916870801114299,0.0012091898428053204,0.00014812072918143397
university of hamburg,0.0008220748842996644,0.25391706090524235,0.003627569528415961,0.00586535522455233
university of gothenburg,0.003208694499737021,0.2797874257281732,0.006045949214026602,0.013475660302376773
european observatory on health systems and policies,0.0,0.26685204816882274,0.0012091898428053204,0.01073466611220216
national bureau of economic research,0.0,0.19486288981630823,0.0012091898428053204,0.000354697750706507
cawthron institute,0.0,0.17639116709744482,0.0024183796856106408,4.388428968689923e-05
environment canterbury,0.0,0.17639116709744482,0.0024183796856106408,4.388428968689923e-05
university of calabria,0.0,0.17887127245979054,0.0024183796856106408,4.570980461404411e-05
university of maryland college park,0.0024703452023204604,0.2463898753052846,0.006045949214026602,0.0036272808520386255
university of new mexico,4.994667967182252e-05,0.22215480560312542,0.003627569528415961,0.0019814654784736027
university of alaska fairbanks,0.002873474719769998,0.2877961147379363,0.019347037484885126,0.0355486769004326
university of south africa,0.002104583025594391,0.24551649646410795,0.003627569528415961,0.007107161684328697
ohio state university,0.0002582652838497253,0.24283848247852358,0.0048367593712212815,0.004792615425892346
carter center,9.201721391116241e-06,0.24340741293337367,0.003627569528415961,0.009036042519263246
emory university,0.002890189942641215,0.30813958701056354,0.016928657799274487,0.07577971727203825
inner mongolia university,0.0,0.23434826485803384,0.0024183796856106408,0.0025356940869337772
arizona state university,0.007791901502877141,0.2972658009167239,0.020556227327690448,0.036498789608101115
university of tennessee,0.004160908568432087,0.25758941509188843,0.009673518742442563,0.004510975518679474
university of oxford,0.02499527981971848,0.34689281275590983,0.05562273276904474,0.12880806181962867
seoul national university,0.0041955666942857725,0.19758047053006972,0.006045949214026602,0.0003519647484228464
universiti tun hussein onn malaysia,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
polytechnic university of milan,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
polytechnic university of turin,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
curtin university,0.01149209959009266,0.26038696095337094,0.003627569528415961,0.010295086300832399
chinese academy of sciences,0.032858737853449824,0.30260504103027674,0.03264812575574365,0.030748359656777247
xiamen university,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
georgia institute of technology,0.002103602716455814,0.2350551977836991,0.003627569528415961,0.003493223352791501
poznan university of technology,0.0,0.24040354204487854,0.0024183796856106408,0.0025257121343469882
international institute for applied systems analysis,0.028703577624921484,0.32877973867213606,0.03869407496977025,0.06065305533794089
swedish university of agricultural sciences,0.00019087123478774164,0.25495557649176687,0.0048367593712212815,0.007521613111250052
carleton university,0.0004624940543377149,0.2546431309323407,0.007255139056831922,0.006333733758642698
university of ibadan,0.0020992472573642005,0.24208403282422133,0.0024183796856106408,0.004439511296027951
university of nebraska lincoln,0.0004853411140558058,0.21811280074260672,0.0048367593712212815,0.000944496534887214
shandong university,0.00039935860861446795,0.21348163853505822,0.003627569528415961,0.0005847517567131627
university of zimbabwe,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
university of bern,0.0020992472573642005,0.267769065516482,0.0024183796856106408,0.010159476462293303
spanish national research council,0.00442887754445537,0.26973880766870184,0.008464328899637243,0.010917298131199989
international water management institute,0.0007812159686392203,0.2792860145709543,0.013301088270858524,0.02326292455681431
temple university,0.0,0.2693891030779473,0.012091898428053204,0.01897889758369583
polytechnic university of catalonia,0.0021572258348787447,0.2019981803377738,0.003627569528415961,0.0004127754362231781
university of basilicata,0.0,0.15263623519156955,0.0012091898428053204,4.854837915775925e-06
sapienza university of rome,0.0020992472573642005,0.18514000134314523,0.0024183796856106408,0.0001287845591726387
johns hopkins university,0.06425598151575039,0.36475505238289646,0.12091898428053204,0.23935148799630576
karlsruhe institute of technology,7.424239004253203e-05,0.2118852428696023,0.003627569528415961,0.0006257894879359261
university of tehran,3.2206024868906836e-05,0.0048367593712212815,0.003627569528415961,4.7104840396218225e-15
technical university of berlin,0.004375928771537668,0.2536071539960822,0.0048367593712212815,0.005457708225408673
ca foscari university of venice,0.0,0.0024183796856106408,0.0024183796856106408,2.6006007484232784e-15
mcgill university,0.004738876330380681,0.2877961147379363,0.010882708585247883,0.03223510613196533
university of new south wales,0.005564028028746256,0.3063225476768403,0.021765417170495766,0.041652480607901034
university of sydney,0.0038132252235085714,0.320496855795563,0.019347037484885126,0.06137267903501802
stockholm resilience centre,0.0005200260199943417,0.2879290459687621,0.008464328899637243,0.025191223157171386
stellenbosch university,0.00613344079609047,0.3185316221371334,0.025392986698911726,0.06601001205094331
the nature conservancy,0.00047937008780704463,0.2618086453264889,0.007255139056831922,0.011789281732580167
university of canberra,0.0026189932860985377,0.25186520586762423,0.0048367593712212815,0.006590048326277178
polytechnic university of valencia,0.0,0.1814221142381752,0.0012091898428053204,7.80267701245807e-05
centre national de la recherche scientifique,0.00965155233338886,0.26425026897938536,0.009673518742442563,0.007245471621221707
pennsylvania state university,0.0010313781875624822,0.2790359823287243,0.008464328899637243,0.018437745687999853
world agroforestry centre,0.00012272019554569492,0.2446492874891562,0.006045949214026602,0.0048849628884045275
university of copenhagen,0.0029557704556469728,0.29769168315299427,0.014510278113663844,0.03265159109562905
center for international forestry research,0.0008803634094577546,0.27570384100945156,0.010882708585247883,0.015624523175662205
university of east anglia,0.005718403957936778,0.29983953079479075,0.020556227327690448,0.04399862138325565
kyoto university,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
hedmark university college,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
norwegian university of science and technology,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
ecole normale superieure,0.0,0.16811391168348708,0.0012091898428053204,1.6337961374311196e-05
universite libre de bruxelles,2.9849620469506725e-05,0.25166184276236175,0.003627569528415961,0.008138995657343372
university of antwerp,0.002200541050912326,0.2580158876334313,0.007255139056831922,0.01503179925936883
universidade de passo fundo,0.0041955666942857725,0.16654191411230831,0.006045949214026602,3.774966646922758e-05
deakin university,0.0018081376798797775,0.2684609752464987,0.0024183796856106408,0.010207256005085742
jacobs university bremen,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
vu university amsterdam,0.002173642777199525,0.25600262198043944,0.006045949214026602,0.00710832734552761
concordia university,0.0,0.24350249395405077,0.0012091898428053204,0.003352994848194757
university of illinois at chicago,1.4866008051070882e-05,0.2525795723348339,0.0024183796856106408,0.007715684980360593
illinois institute of technology,0.0,0.18503009335778273,0.0012091898428053204,0.00013170555667475935
beth israel deaconess medical center,0.0,0.2610411995487312,0.0024183796856106408,0.011857147696696395
brigham and women s hospital,0.0005577977830244353,0.3034889895435102,0.018137847642079805,0.07209297581007823
university of indonesia,0.0003040672687285339,0.2686924071217112,0.006045949214026602,0.01639052840773317
university of southampton,0.005425801073446452,0.31499059349286007,0.025392986698911726,0.08202656123362805
durham university,0.0003330990992563882,0.28206623734043895,0.008464328899637243,0.02780269040492653
university of minnesota,0.0031777535228783137,0.2979762832324905,0.015719467956469165,0.0392591616957122
sun yat sen university,0.0,0.22447475135843356,0.0012091898428053204,0.001159473413829484
university of trento,2.9278204426278945e-06,0.0024183796856106408,0.0024183796856106408,1.499620613515118e-16
food and agriculture organization,0.00030087915248111215,0.27352627666624396,0.006045949214026602,0.012160200672759606
university of milan,0.0,0.0024183796856106408,0.0024183796856106408,2.6006007484232784e-15
national yunlin university of science and technology,0.0,0.0012091898428053204,0.0012091898428053204,8.908325072181525e-18
erasmus university rotterdam,0.0020992472573642005,0.26006106988834793,0.003627569528415961,0.011033900885560726
delft university of technology,0.004132890223307373,0.261918648958979,0.008464328899637243,0.009873657955094107
texas a m university,0.00012495871230350846,0.24717144509213718,0.003627569528415961,0.004663767551487282
ministry of health and social welfare,0.0,0.27916094246411555,0.0048367593712212815,0.024338021483984954
the new school,0.0,0.2438835620197066,0.0012091898428053204,0.006096599378208175
center for global development,3.344108090908149e-05,0.2841232381596946,0.007255139056831922,0.029730235685992486
university of pennsylvania,0.0033556482888010344,0.3046756522592229,0.019347037484885126,0.06785378278615663
university of amsterdam,0.004809286518482722,0.29712411083049095,0.015719467956469165,0.022143076528434537
world health organization,0.11825352426029939,0.3864639705656355,0.1438935912938331,0.26909416795234453
united nations environment programme,0.0033605350925290083,0.2649240903197493,0.009673518742442563,0.010200519008828684
world bank group,3.359356713451179e-05,0.2847722176895249,0.007255139056831922,0.030573240430611732
united nations population fund,0.0010101741835867608,0.2912927030478365,0.008464328899637243,0.040714671483296064
yale university,0.006059460076007206,0.3148315073345303,0.021765417170495766,0.06672521497077727
university of virginia,0.0009299986606919123,0.2728080457428315,0.006045949214026602,0.021948271086731086
new york university,0.0008505960432753182,0.28660523426315865,0.010882708585247883,0.02578113208667346
higher university of san andres,0.0,0.001612253123740427,0.0012091898428053204,1.0603919050306407e-16
